method,base_score_source,uncertainty_col,lambda,normalization,HR@10,NDCG@10,MRR@10,head_exposure_ratio@10,tail_exposure_ratio@10,long_tail_coverage@10,topk_total_items@10,base_score_col,rank_change_rate,top10_order_change_rate,mean_kendall_tau,base_uncertainty_spearman
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.0,minmax,1.0,0.6059567680371164,0.48043850633778695,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.0,0.0,1.0,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.05,minmax,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.1,minmax,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.2,minmax,1.0,0.614207490437778,0.4909044193216855,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22816032887975335,0.5015416238437821,0.8820143884892087,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.5,minmax,1.0,0.6095507888696053,0.4854744775608085,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.43302500856457693,0.7780061664953751,0.6986639260020554,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.0,zscore,1.0,0.6059567680371164,0.48043850633778695,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.0,0.0,1.0,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.05,zscore,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.1,zscore,1.0,0.6142525302639228,0.4909558067831449,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.22062350119904076,0.4933196300102775,0.886125385405961,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.2,zscore,1.0,0.6139425402055125,0.4905960945529291,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.2314148681055156,0.5046248715313464,0.8802329564919493,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,A_relevance_probability,evidence_risk,0.5,zscore,1.0,0.6091753058432802,0.48496060294621446,0.2144570058239123,0.37050359712230213,1.0,5838,relevance_probability,0.434052757793765,0.7790339157245632,0.7056526207605344,-0.03752439759631296
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.0,minmax,1.0,0.60634247868655,0.4810722850291196,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.0,0.0,1.0,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.05,minmax,1.0,0.6113374947518504,0.48725590955806786,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.20280918122644742,0.43782117163412126,0.8944844124700239,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.1,minmax,1.0,0.6108371596326537,0.4867420349434738,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.22987324426173347,0.48715313463514903,0.8776293251113395,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.2,minmax,1.0,0.6104024590884786,0.4862966769441589,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.31997259335388833,0.6248715313463515,0.8017129153819801,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.5,minmax,1.0,0.6069713709536617,0.48216855087358684,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.5005138746145941,0.8448098663926003,0.6253511476533059,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.0,zscore,1.0,0.60634247868655,0.4810722850291196,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.0,0.0,1.0,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.05,zscore,1.0,0.6117168064131336,0.48776978417266187,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.20315176430284343,0.43782117163412126,0.8940733127783488,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.1,zscore,1.0,0.6104305955118822,0.48626241863651937,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.23347036656389175,0.49229188078108943,0.8750256937307297,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.2,zscore,1.0,0.6084194849326062,0.48369304556354914,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.31963001027749227,0.6217882836587872,0.8034943473792394,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,B_calibrated_relevance_probability,evidence_risk,0.5,zscore,1.0,0.6069084519633513,0.48213429256594725,0.2144570058239123,0.37050359712230213,1.0,5838,calibrated_relevance_probability,0.5044535799931483,0.8458376156217883,0.6221993833504624,-0.04597207363466405
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.0,minmax,1.0,0.6247147027777011,0.5049160671462829,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.0,0.0,1.0,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.05,minmax,1.0,0.6249516850430996,0.5051901336073998,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.024665981500513873,0.047276464542651594,0.9802672147995889,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.1,minmax,1.0,0.6249066452169548,0.5051387461459403,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.02603631380609798,0.051387461459403906,0.9797190818773552,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.2,minmax,1.0,0.6235713879656117,0.5033230558410414,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.08136348064405619,0.21068859198355602,0.9575196985268929,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.5,minmax,1.0,0.6228602561754434,0.5025522439191504,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.4117848578280233,0.828365878725591,0.7951353203151765,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.0,zscore,1.0,0.6247147027777011,0.5049160671462829,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.0,0.0,1.0,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.05,zscore,1.0,0.6249516850430996,0.5051901336073998,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.024665981500513873,0.047276464542651594,0.9802672147995889,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.1,zscore,1.0,0.6245723733818164,0.5046762589928058,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.025351147653305928,0.048304213771839674,0.9799931483384721,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.2,zscore,1.0,0.6258710786068368,0.5064234326824255,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.040082219938335044,0.09146968139773895,0.9741007194244604,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,C_plain_rank_score,evidence_risk,0.5,zscore,1.0,0.6236386617860016,0.503631380609798,0.2144570058239123,0.37050359712230213,1.0,5838,plain_rank_score,0.3927714970880439,0.8314491264131552,0.8107571085988352,-0.08038700702815249
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.0,minmax,1.0,0.6265921105813216,0.5072970195272354,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.0,0.0,1.0,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.05,minmax,1.0,0.627638948284556,0.5086673518328194,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.040082219938335044,0.09352517985611511,0.9754710517300446,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.1,minmax,1.0,0.6279435817397448,0.5089928057553957,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.06800274066461116,0.17266187050359713,0.9603973963686194,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.2,minmax,1.0,0.6253226065519395,0.5054642000685166,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.1370332305584104,0.34635149023638234,0.929564919492977,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.5,minmax,1.0,0.6224234328953919,0.5019184652278178,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.42309009934909214,0.8396711202466598,0.784309695101062,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.0,zscore,1.0,0.6265921105813216,0.5072970195272354,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.0,0.0,1.0,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.05,zscore,1.0,0.6274781780433852,0.5084618019869819,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.04025351147653306,0.09249743062692703,0.9751969852689277,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.1,zscore,1.0,0.6281944316332052,0.5093011305241522,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.06800274066461116,0.1695786228160329,0.9606714628297363,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.2,zscore,1.0,0.6263577984093214,0.5068859198355601,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.12983898595409388,0.33093525179856115,0.9325796505652622,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.25,evidence_risk,0.5,zscore,1.0,0.6220135055611493,0.5013703323055841,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.25_score,0.39928057553956836,0.8314491264131552,0.7991092840013703,-0.07712245408546137
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.0,minmax,1.0,0.6245823365954346,0.5043508050702296,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.0,0.0,1.0,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.05,minmax,1.0,0.6247108894668941,0.5046077423775266,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.044535799931483384,0.11510791366906475,0.9790339157245633,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.1,minmax,1.0,0.6237556609157979,0.5033744433025009,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.08136348064405619,0.21274409044193218,0.9588900308324769,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.2,minmax,1.0,0.6226766022184403,0.5020554984583762,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.14028776978417265,0.355601233299075,0.9298389859540939,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.5,minmax,1.0,0.6216965055967323,0.501027749229188,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.40715998629667693,0.7954779033915724,0.766906474820144,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.0,zscore,1.0,0.6245823365954346,0.5043508050702296,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.0,0.0,1.0,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.05,zscore,1.0,0.6247423854793571,0.5046420006851662,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.043850633778691334,0.11408016443987667,0.9790339157245633,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.1,zscore,1.0,0.6239435187843323,0.503614251455978,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.08067831449126413,0.20863309352517986,0.9590270640630353,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.2,zscore,1.0,0.6233364296964363,0.5028776978417266,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.13497773210003425,0.3442959917780062,0.932853717026379,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.5,evidence_risk,0.5,zscore,1.0,0.6221122781807015,0.501558752997602,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.5_score,0.3920863309352518,0.7872559095580678,0.7814319972593354,-0.06474821391102457
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.0,minmax,1.0,0.6228480771923256,0.5018670777663584,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.0,0.0,1.0,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.05,minmax,1.0,0.6227050264391928,0.5017129153819802,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.03579993148338472,0.09352517985611511,0.9834189791024324,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.1,minmax,1.0,0.6216759761026148,0.5004282288454951,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.0815347721822542,0.2065775950668037,0.9608084960602947,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.2,minmax,1.0,0.6212303546942473,0.49994861253854056,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.18619390202124014,0.4511819116135663,0.9075025693730729,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.5,minmax,1.0,0.6179901653586409,0.49611168208290507,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.44552929085303183,0.8221993833504625,0.6983898595409387,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.0,zscore,1.0,0.6228480771923256,0.5018670777663584,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.0,0.0,1.0,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.05,zscore,1.0,0.6227132815282715,0.5017300445358,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.03614251455978075,0.09455292908530319,0.9831449126413155,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.1,zscore,1.0,0.6223582284186984,0.5013018156903049,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.0815347721822542,0.20863309352517986,0.9599862966769442,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.2,zscore,1.0,0.6209064239731596,0.4995203836930456,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.18122644741349778,0.4398766700924974,0.909146968139774,-0.02981028048329571
day9_day10_stronger_base_evidence_risk,D_hybrid_alpha_0.75,evidence_risk,0.5,zscore,1.0,0.6190979054374173,0.49753340184994865,0.2144570058239123,0.37050359712230213,1.0,5838,hybrid_alpha_0.75_score,0.4313120931825968,0.8088386433710175,0.7100376841384036,-0.02981028048329571
