num_samples,accuracy,avg_confidence,avg_correctness,brier_score,ece,mce,auroc,split,variant,score_col,status,feature_set,uses_fallback,fallback_reason,total_rows,usable_rows,parse_success_rate,high_conf_threshold,high_conf_error_rate,condition,mean_relevance_probability,mean_calibrated_relevance_probability,mean_evidence_risk
3000,0.6163333333333333,0.42512000000000005,0.6163333333333333,0.2284647333333333,0.25845333333333326,0.4998237885462554,0.6120892,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5185185185185185,clean,0.42512000000000005,0.16503548480069274,0.43062222222222224
3000,0.8333333333333334,0.16503548480069274,0.8333333333333334,0.13380135991940947,0.006531965209614444,0.032091843545588056,0.6094936,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,clean,0.42512000000000005,0.16503548480069274,0.43062222222222224
3000,0.8346666666666667,0.1652901868923907,0.8346666666666667,0.13384469173089888,0.00499226184165204,0.042183622828784184,0.6138928,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,clean,0.42512000000000005,0.16503548480069274,0.43062222222222224
3000,0.835,0.16538123679480635,0.835,0.13369382006013858,0.007321369854084982,0.037354932301740806,0.6168392,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,clean,0.42512000000000005,0.16503548480069274,0.43062222222222224
3000,0.6153333333333333,0.4208,0.6153333333333333,0.2275959333333333,0.25449999999999995,0.4932718894009216,0.606808,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5098039215686274,history_dropout_0.1,0.4208,0.16352075881973768,0.43147222222222215
3000,0.8333333333333334,0.16352075881973768,0.8333333333333334,0.13395968498097657,0.007291362392383534,0.03055555555555555,0.603988,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.1,0.4208,0.16352075881973768,0.43147222222222215
3000,0.8356666666666667,0.1641750961950291,0.8356666666666667,0.13407716593790614,0.0076865436862955895,0.06053484088166161,0.6082888,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.1,0.4208,0.16352075881973768,0.43147222222222215
3000,0.8356666666666667,0.16414400876057073,0.8356666666666667,0.13390304696824684,0.011482895083949531,0.07435770750988135,0.6087936,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.1,0.4208,0.16352075881973768,0.43147222222222215
3000,0.633,0.41126999999999997,0.633,0.22230090000000002,0.24503666666666668,0.47628440366972485,0.6051996,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5257731958762887,history_dropout_0.2,0.41126999999999997,0.1613896584763383,0.43358888888888886
3000,0.8333333333333334,0.1613896584763383,0.8333333333333334,0.13441998837883307,0.006988057458520501,0.034374999999999996,0.5991792,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.2,0.41126999999999997,0.1613896584763383,0.43358888888888886
3000,0.8353333333333334,0.16268949988841602,0.8353333333333334,0.13422234304542216,0.009932636862677462,0.16268088640216316,0.6083784,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.2,0.41126999999999997,0.1613896584763383,0.43358888888888886
3000,0.8356666666666667,0.16248043462028136,0.8356666666666667,0.13447742803325652,0.014802192358683608,0.21250000000000002,0.6025376,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.2,0.41126999999999997,0.1613896584763383,0.43358888888888886
3000,0.6353333333333333,0.40755,0.6353333333333333,0.2221928333333333,0.24194999999999997,0.525891891891892,0.598012,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5495495495495496,history_dropout_0.3,0.40755,0.1611375581226445,0.4319555555555556
3000,0.8336666666666667,0.1611375581226445,0.8336666666666667,0.13522376259092708,0.015344919716976177,0.4,0.5935644,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.3,0.40755,0.1611375581226445,0.4319555555555556
3000,0.8343333333333334,0.1623675088839154,0.8343333333333334,0.1351514614113873,0.01379135199113731,0.125,0.5996732,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.3,0.40755,0.1611375581226445,0.4319555555555556
3000,0.8346666666666667,0.1623620290497893,0.8346666666666667,0.13517585075735178,0.013604201823015555,0.09346903096903089,0.600628,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_dropout_0.3,0.40755,0.1611375581226445,0.4319555555555556
3000,0.6323333333333333,0.41351666666666675,0.6323333333333333,0.22317716666666668,0.24694999999999998,0.4818264840182648,0.6078104,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5473684210526316,candidate_text_dropout_0.1,0.41351666666666675,0.1620631469676164,0.4292722222222222
3000,0.8343333333333334,0.1620631469676164,0.8343333333333334,0.1346250398220571,0.00958886292725068,0.4,0.6058552,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.1,0.41351666666666675,0.1620631469676164,0.4292722222222222
3000,0.834,0.16185868662076944,0.834,0.13439268428147205,0.008287223274425867,0.09205983889528202,0.6093512,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.1,0.41351666666666675,0.1620631469676164,0.4292722222222222
3000,0.834,0.16159051413008774,0.834,0.13425973184318873,0.011628466247302306,0.09886363636363649,0.6129848,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.1,0.41351666666666675,0.1620631469676164,0.4292722222222222
3000,0.6443333333333333,0.40473000000000003,0.6443333333333333,0.2180251,0.23809666666666668,0.5066331658291456,0.6084416,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5104166666666666,candidate_text_dropout_0.2,0.40473000000000003,0.1599792229399001,0.42775
3000,0.8336666666666667,0.1599792229399001,0.8336666666666667,0.13421121503274325,0.01167330231262517,0.4,0.6047588,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.2,0.40473000000000003,0.1599792229399001,0.42775
3000,0.8363333333333334,0.15970921459569115,0.8363333333333334,0.13386629349438112,0.014223256401260148,0.125,0.6072152,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.2,0.40473000000000003,0.1599792229399001,0.42775
3000,0.836,0.15931236135427765,0.836,0.13384275271323184,0.016056769644425366,0.05625000000000002,0.611104,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.2,0.40473000000000003,0.1599792229399001,0.42775
3000,0.655,0.39884,0.655,0.21545806666666667,0.23255333333333328,0.5172727272727272,0.6028456,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5053763440860215,candidate_text_dropout_0.3,0.39884,0.15815417688199315,0.42857222222222224
3000,0.8336666666666667,0.15815417688199315,0.8336666666666667,0.134464337854715,0.014601378673562418,0.4,0.6028508,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.3,0.39884,0.15815417688199315,0.42857222222222224
3000,0.836,0.15810321572308328,0.836,0.1343226148561758,0.014036258567895832,0.125,0.6001876,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.3,0.39884,0.15815417688199315,0.42857222222222224
3000,0.836,0.15719125710973095,0.836,0.13422193347727532,0.012311773193299368,0.04189393939393937,0.6063472,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,candidate_text_dropout_0.3,0.39884,0.15815417688199315,0.42857222222222224
3000,0.5543333333333333,0.47479666666666664,0.5543333333333333,0.2575987,0.30876333333333333,0.5500366300366301,0.5855064,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5514018691588785,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.8336666666666667,0.17561938181499417,0.8336666666666667,0.1358474203851318,0.009752715148327496,0.4,0.5858332,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.8336666666666667,0.17363984023372608,0.8336666666666667,0.13594785168914142,0.013566392527304174,0.3333333333333333,0.5846376,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.8336666666666667,0.17412448283936005,0.8336666666666667,0.13608342156471356,0.01983318385519942,0.10146103896103895,0.5852044,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.1,0.47479666666666664,0.17561938181499417,0.43933333333333335
3000,0.547,0.47829000000000005,0.547,0.26102396666666666,0.31219,0.9500000000000001,0.5813984,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.5779816513761468,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.8326666666666667,0.17688810692832374,0.8326666666666667,0.1365531929099085,0.010821440261657036,0.6,0.5813992,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.833,0.1746232278720845,0.833,0.13644060607740713,0.00862322787208445,0.5,0.5835904,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.833,0.1747517058438061,0.833,0.13639116111613903,0.0119409267390832,0.09346567411083556,0.5871476,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.2,0.47829000000000005,0.17688810692832374,0.4394333333333334
3000,0.554,0.4797333333333333,0.554,0.2590109333333333,0.3136466666666667,0.5127972027972026,0.5950184,test,raw_relevance_probability,relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.6097560975609756,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
3000,0.8333333333333334,0.17798023127924603,0.8333333333333334,0.13626707510869543,0.011746897945912688,0.09308113489298164,0.5936024,test,calibrated_relevance_probability,calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
3000,0.8316666666666667,0.17472693594022762,0.8316666666666667,0.13624507207225686,0.011085317443117783,0.2,0.5964268,test,evidence_posterior_relevance_minimal,minimal_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
3000,0.8316666666666667,0.17538179582718422,0.8316666666666667,0.13636628787839372,0.01688741435992775,0.14474772539288683,0.5894884,test,evidence_posterior_relevance_full,full_calibrated_relevance_probability,ready,,False,,3000,3000,1.0,0.8,0.0,history_swap_noise_0.3,0.4797333333333333,0.17798023127924603,0.43907222222222225
